roles,companies,locations,experience,skills
Lead Data Scientist,Cloudcover Consultancy,Pune,4-7 Yrs,"text mining
computer vision
git
data science
gcp
artificial intelligence
machine learning
agile"
Senior Business Analyst and Data Scientist,Cloudcover Consultancy,"Mumbai, Pune",7-10 Yrs,"sas
data modeling
project management
cognos
ssrs
senior business analyst
ssis
sap bi"
Sr. Data Scientist,Cloudcover Consultancy,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",5-10 Yrs,"gen ai
pyspark
azure
open ai
python
artificial intelligence
gen
data"
Senior Data Scientist,Cloudcover Consultancy,Hybrid - Bengaluru,5-10 Yrs,"tensorflow
gcp
adtech
aws
kubernates
github
bigquery
ci/cd"
Senior Data Scientist,Cloudcover Consultancy,Bengaluru,7-12 Yrs,"mlops
predictive maintenance
tensorflow
cloud
aws sagemaker
ml algorithms
random forest
data"
Senior Data Scientist,Cloudcover Consultancy,Bengaluru,8-12 Yrs,"natural language processing
machine learning
data science
scipy
docker
pyspark
numpy
sql"
Data Scientist - Jr/Sr,Cloudcover Consultancy,"Mumbai, Bengaluru, Thiruvananthapuram",2-6 Yrs,"data science
airflow
devops
ecs
github
aws architecture
ci/cd
elastic search"
Senior Data Scientist,Cloudcover Consultancy,Hybrid - Bengaluru,5-10 Yrs,"gen ai
llamaindex
llm
machine learning
machine
artificial intelligence
senior
data"
Senior Data Scientist,Cloudcover Consultancy,"Bengaluru, Mumbai (All Areas)",6-8 Yrs,"data science
predictive modeling
r
logistic regression
decision tree
linear regression
statistical modeling
machine learning algorithms"
Senior Data Scientist,Cloudcover Consultancy,Bengaluru,8-12 Yrs,"computer science
data science
analytical
machine learning
data collection
data quality
business solutions
monitoring"
Sr Data Scientist,Cloudcover Consultancy,Bengaluru,3-4 Yrs,"supply chain
data analysis
simulation
network security
data structures
troubleshooting
sql
python"
Sr Data Scientist,Cloudcover Consultancy,Bengaluru,4-8 Yrs,"supply chain
digital media
advertising agency
data science
analytical
network security
global strategy
rfp"
Senior Data Scientist,Cloudcover Consultancy,Bengaluru,3-5 Yrs,"computer science
machine learning
workflow
distribution system
financial services
sql
python
recruitment"
Senior Expert Data Scientist,Cloudcover Consultancy,Hyderabad,5-9 Yrs,"team management
diagnostics
analytical
machine learning
clinical trials
mentor
pharmacokinetics
bioinformatics"
Senior Principal Data Scientist,GoTo Group,Bengaluru,12-16 Yrs,"data analysis
nosql
project management
machine learning
distribution system
financial services
sql
python"
"Data Scientist AFC, Analytics Analyst, NCT",GoTo Group,Bengaluru,2-4 Yrs,"computer science
data analysis
manager quality assurance
analytics analyst
shell scripting
money laundering
banking
model development"
Data Scientist: Advanced Analytics,GoTo Group,Chennai,3-7 Yrs,"amazon lex
kinesis
node.js
tableau
iam
advanced analytics
python
quicksight"
Principal Data Scientist,GoTo Group,Hybrid - Hyderabad,11-15 Yrs,"data science
nlp
natural language processing
machine learning
languages
data
processing
machine"
Data Scientist II,GoTo Group,Pune,4-8 Yrs,"unix
mining
coding
product innovation
configuration management
information security
machine learning
agile"
Principal Data Scientist,GoTo Group,Bengaluru,6-10 Yrs,"data science
deep learning
python
nlp
neural networks
machine learning
logistic regression
artificial intelligence"
Staff Data Scientist,GoTo Group,Bengaluru,8-12 Yrs,"git
machine learning
agile
data structures
monitoring
sql
android
python"
Junior Data Scientist,GoTo Group,Gurugram,1-6 Yrs,"business administration
data analysis
data modeling
analytical
brand marketing
machine learning
data visualization
analytics"
Sr. Data Scientist Engineer,GoTo Group,Chandigarh,4-9 Yrs,"pytorch
machine learning
data science
tensorflow
artificial intelligence
neural networks
deep learning
ml"
Lead Data Scientist/ Sr Data scientist,GoTo Group,Hyderabad,8-13 Yrs,"gen ai
data scientist
microsoft azure
machine learning
deep learning
ml ops
natural language processing
ai"
Data scientist / ML Engineer -- US MNC (analytics),GoTo Group,"Hybrid - Noida, Gurugram, Bengaluru",3-8 Yrs,"python
tensorflow
predictive modeling
model risk
artificial intelligence
neural networks
ml flow
risk modeling"
Senior Data Scientist and Lead Data Scientist,GoTo Group,Chandigarh,4-6 Yrs,"computer vision
prototype
git
image processing
gcp
analytical
machine learning
natural language processing"
Lead or Senior Data Scientist,GoTo Group,Pune,5-7 Yrs,"algorithms
scala
mathematics
data pipeline
bitbucket
artificial intelligence
sql
apache"
Senior Data Scientist - NLP Team Lead,GoTo Group,Remote,5-10 Yrs,"computer science
senior management
machine learning
technical leadership
natural language processing
team leader
subject matter expert
research"
Senior Lead Data Scientist,GoTo Group,Mumbai,5-10 Yrs,"text mining
deep learning
data science
machine learning
data mining
microsoft
forecasting
financial services"
Senior / Lead - Data Scientist,GoTo Group,Chennai,6-12 Yrs,"statistical modeling
machine learning
lead
predictive modeling
data mining
econometrics
statistics
monitoring"
Lead Data Scientist,GoTo Group,Bengaluru(JP Nagar),10-15 Yrs,"data science
artificial intelligence
machine learning
statistics
python
deep learning
ai/ml
natural language processing"
Lead Data Scientist/ Data Scientist,GoTo Group,Bengaluru,7-12 Yrs,"retail analytics
ml solution design
python
experiment design
statistics
ml
analytics
solution design"
Lead Data Scientist,GoTo Group,Bengaluru,5-9 Yrs,"supply chain
simulation
analytical
machine learning
agile
network security
forecasting
technical support"
Senior Data Scientist - AI/ ML,GoTo Group,"Pune, Chennai, Bengaluru",11-18 Yrs,"data science
statistical modeling
machine learning
artificial intelligence
senior
aiml
machine
ml"
Senior Data Scientist,Numentica,Bengaluru,3-5 Yrs,"lvm
version control
git
coding
analytical
mysql
machine learning
mongodb"
Senior Data Scientist - Computer Vision,Numentica,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"cv
opencv
computer vision
tensorflow
pytorch
image processing
process
data"
Senior Data Scientist - NLP,Numentica,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"nlp
natural language processing
llm
data science
ai
process
artificial intelligence
senior"
Senior Data Scientist,Numentica,Bengaluru,1-10 Yrs,"data analysis
analytical
data science
predictive modeling
predictive analytics
anomaly detection
machine learning
science"
Senior Data scientist,Numentica,Bengaluru,5-7 Yrs,"data analysis
lms
neural networks
analytical
machine learning
data structures
predictive modeling
troubleshooting"
Senior Data scientist,Numentica,Chennai,6-9 Yrs,"usage
architecture
manager technology
competency development
mentor
management
analytics
monitoring"
Senior Data Scientist,Numentica,Bengaluru,7-9 Yrs,"microstrategy
ms sql
sap
db2
coding
mysql
oracle
teradata"
Senior Data Scientist,Numentica,Mumbai,4-9 Yrs,"team management
r
r shiny
data science
statistical modeling
rstudio
r program
sql"
Senior Data Scientist,Numentica,Bengaluru,6-10 Yrs,"machine learning
legal
manager technology
information retrieval
natural language processing
aws
recruitment
machine"
Senior Data Scientist,Numentica,Hyderabad,3-9 Yrs,"solution design
data analysis
database design
design development
qlikview
subject matter expertise
oracle
microsoft"
Senior Data Scientist,Numentica,Bengaluru,4-8 Yrs,"computer science
team management
data science
business analysis
artificial intelligence
underwriting
machine learning
statistics"
Sr. Data Scientist - Search,Numentica,Bengaluru,3-8 Yrs,"supply chain
data analysis
simulation
analytical
machine learning
scala
network security
forecasting"
Senior Data Scientist,Numentica,Bengaluru,6-11 Yrs,"data analysis
sas
coding
machine learning
perl
ruby
analytics
sql"
Senior Data Scientist,Numentica,Chennai,7-10 Yrs,"computer science
machine learning
conceptualization
agile
ventilation
refrigeration
data mining
embedded software"
Senior Data Scientist,Numentica,Chennai,7-10 Yrs,"machine learning
conceptualization
agile
ventilation
refrigeration
data mining
embedded software
sql"
Senior Data Scientist,Numentica,Remote,7-12 Yrs,"data science
python
data analysis
science
senior
analysis
data"
"Sr. Data Scientist (AI/ML,GenAI)",Numentica,"Hybrid - Pune, Chennai, Bengaluru",4-9 Yrs,"machine learning
data science
gen ai
ai/ml
python
tensorflow
power bi
artificial intelligence"
Senior Data Scientist,Numentica,Bengaluru,4-9 Yrs,"computer science
data analysis
backend
bidding
analytical
machine learning
healthcare
analytics"
Sr Data Scientist,Numentica,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"python
natural language processing
neural networks
predictive analytics
machine learning
artificial intelligence
text analytics
deep learning"
Sr Data Scientist,Numentica,"Hyderabad, Bengaluru",10-20 Yrs,"aws cloud
python
pyspark
machine learning
python development
keras
data science
data scientist"
